,Productno,Product,Presentprice,Pastprice,Offer,Rating
0, 1, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi Onl...," 25,900 INR"," 29,900 INR", 13% off,4.7
1, 2, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi On...," 33,900 INR"," 37,900 INR", 10% off,4.7
2, 3, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi On...," 33,900 INR"," 35,200 INR", 3% off,4.7
3, 4, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi Onl...," 25,900 INR"," 29,900 INR", 13% off,4.7
4, 5, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi On...," 32,900 INR"," 34,900 INR", 5% off,4.7
5, 6, Apple iPad Air 64 GB ROM 10.5 inch with Wi-Fi Only (Spa...," 41,990 INR"," 44,900 INR", 6% off,4.7
6, 7, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi Onl...," 25,900 INR"," 29,900 INR", 13% off,4.7
7, 8, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi On...," 32,900 INR"," 34,900 INR", 5% off,4.7
8, 9, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi On...," 33,900 INR"," 35,200 INR", 3% off,4.7
9, 10, Apple iPad Air 64 GB ROM 10.5 inch with Wi-Fi Only (Sil...," 44,900 INR", one INR, None,4.7
10, 11, Apple iPad Air 256 GB ROM 10.5 inch with Wi-Fi Only (Sp...," 54,900 INR"," 58,900 INR", 6% off,4.7
11, 12, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi On...," 32,900 INR"," 34,900 INR", 5% off,4.7
12, 13, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G...," 46,900 INR"," 48,900 INR", 4% off,4.7
13, 14, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G...," 46,900 INR"," 48,900 INR", 4% off,4.7
14, 15, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G...," 46,900 INR"," 48,900 INR", 4% off,4.7
15, 16, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi O...," 46,900 INR"," 48,900 INR", 4% off,4.7
16, 17, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi+4G ...," 38,900 INR"," 40,900 INR", 4% off,4.7
17, 18, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi+4G ...," 38,900 INR"," 40,900 INR", 4% off,4.7
18, 19, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi+4...," 54,900 INR"," 59,900 INR", 8% off,4.7
19, 20, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G...," 43,900 INR"," 45,900 INR", 4% off,4.7
20, 21, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi+4...," 54,900 INR"," 59,900 INR", 8% off,4.7
21, 22, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G...," 43,900 INR"," 45,900 INR", 4% off,4.7
22, 23, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi O...," 46,900 INR"," 48,900 INR", 4% off,4.7
23, 24, Apple iPad Air 256 GB ROM 10.5 inch with Wi-Fi Only (Si...," 56,900 INR"," 58,900 INR", 3% off,4.7
24, 25, Apple iPad Air 64 GB ROM 10.5 inch with Wi-Fi Only (Gol...," 44,900 INR", one INR, None,4.7
25, 26, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi+4...," 54,900 INR"," 59,900 INR", 8% off,4.7
26, 27, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G...," 43,900 INR"," 45,900 INR", 4% off,4.7
27, 28, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 256 GB RO...," 94,900 INR", one INR, None,4.8
28, 29, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 512 GB RO...," 98,900 INR", one INR, None,4.8
29, 30, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi O...," 46,900 INR"," 48,900 INR", 4% off,4.7
30, 31, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi+4G ...," 38,900 INR"," 40,900 INR", 4% off,4.7
31, 32, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 1 TB ROM ...," 1,16,900 INR", one INR, None,4.8
32, 33, Apple iPad Pro 2020 (4th Generation) 6 GB RAM 512 GB RO...," 1,30,900 INR", one INR, None,4.8
33, 34, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 512 GB RO...," 98,900 INR", one INR, None,4.8
34, 35, Apple iPad Pro 2020 (4th Generation) 6 GB RAM 512 GB RO...," 1,30,900 INR", one INR, None,4.8
35, 36, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 512 GB RO...," 1,12,900 INR", one INR, None,4.8
36, 37, Apple iPad Pro 2020 (4th Generation) 6 GB RAM 1 TB ROM ...," 1,48,900 INR", one INR, None,4.8
37, 38, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 512 GB RO...," 1,12,900 INR", one INR, None,4.8
38, 39, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 1 TB ROM ...," 1,30,900 INR", one INR, None,4.8
39, 40, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 1 TB ROM ...," 1,16,900 INR", one INR, None,4.8
40, 41, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi Onl...," 25,900 INR"," 29,900 INR", 13% off,4.7
41, 42, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi On...," 33,900 INR"," 37,900 INR", 10% off,4.7
42, 43, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi On...," 33,900 INR"," 35,200 INR", 3% off,4.7
43, 44, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi Onl...," 25,900 INR"," 29,900 INR", 13% off,4.7
44, 45, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi On...," 32,900 INR"," 34,900 INR", 5% off,4.7
45, 46, Apple iPad Air 64 GB ROM 10.5 inch with Wi-Fi Only (Spa...," 41,990 INR"," 44,900 INR", 6% off,4.7
46, 47, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi Onl...," 25,900 INR"," 29,900 INR", 13% off,4.7
47, 48, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi On...," 32,900 INR"," 34,900 INR", 5% off,4.7
48, 49, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi On...," 33,900 INR"," 35,200 INR", 3% off,4.7
49, 50, Apple iPad Air 64 GB ROM 10.5 inch with Wi-Fi Only (Sil...," 44,900 INR", one INR, None,4.7
50, 51, Apple iPad Air 256 GB ROM 10.5 inch with Wi-Fi Only (Sp...," 54,900 INR"," 58,900 INR", 6% off,4.7
51, 52, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G...," 46,900 INR"," 48,900 INR", 4% off,4.7
52, 53, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi On...," 32,900 INR"," 34,900 INR", 5% off,4.7
53, 54, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G...," 46,900 INR"," 48,900 INR", 4% off,4.7
54, 55, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G...," 46,900 INR"," 48,900 INR", 4% off,4.7
